;reference;sous_famille;pignon 1;pignon 2;long_pan3;long_pan4;long_pan5;long_pan6;cloison7;cloison8;cloison9;cloison10;kitchenette;lieu_rangement;Liste Expertise;Liste_Amenagement
1987;BUNG03558;Bungalow 6m;;;;;;;;;;; 4.0;;;
1988;CONT945135;Container;;;;;;;;;;;;;;
1989;BUNG00331;Bungalow 9m;;;;;;;;;;;;;;
1990;BUNG03205;Bungalow 6m;;;;;;;;;;;Pignon #02 5.0;;;pignon1: Pignon ferme 2.5,  pignon2: Pignon mi-Plein/mi-Fenetre 5.0,  longpan3: Long Pan 6m standard 2.5,  longpan4: <vide> 1.0,  passage5: 0,0,  passage6: 0,0,  cloison7: null,  kitchenette: Pignon #02 5.0,  config_sanitaires: null,  config_vestiaires: null,  config_WC_HF: null
1991;BUNG03511;Bungalow 6m;;;;;;;;;;;Pignon #02 5.0;;;
1992;BUNG03556;Bungalow 6m;;;;;;;;;;; 4.0;;;
1993;BUNG00020;Bungalow 9m;Pignon Fenêtre 5.0;Pignon Fenêtre clim reversible 10.;<vide> 1.0;<vide> 1.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;Cloison Pleine 3.0;Cloison Pleine 3.0;Panneau Passage 2.0;Panneau Passage 2.0;<vide> 4.0;;;pignon1: Pignon Fenêtre 5.0,  pignon2: Pignon Fenêtre clim reversible 10.,  longpan3: <vide> 1.0,  longpan4: <vide> 1.0,  longpan5: 1/2 long Pan Plein 2.5,  longpan6: 1/2 long Pan Plein 2.5,  cloison_int7: Cloison Pleine 3.0,  cloison_int8: Cloison Pleine 3.0,  cloison_pass9: Panneau Passage 2.0,  cloison_pass10: Panneau Passage 2.0,  kitchenette: <vide> 4.0,  config_sanitaires: null,  config_vestiaires: <n/a> 0.0,  config_WC_HF: <n/a> 0.0
1994;bung00425;Bungalow 9m;Pignon mi-Plein/mi-Fenetre 5.0;Pignon Porte 6.0; 1.0; 1.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0; 0.5;Panneau Plein 2.0;Pignon #01 5.0;;;
1995;bung00366;Bungalow 9m;Pignon Fenêtre convecteur 7.0;Pignon Fenêtre convecteur 7.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.5; 0.5; 4.0;;Réparation toiture(M2) 0.0, Echange fenêtre 2000mm (U) 3.5, Peinture extérieure (M2) 0.25, Peinture interieure(M2) 0.25, Barreaudage galva 100x130 (U) 1.0, Refection Lino(M2) 0.2Echange convecteur (U) 1.0, Echange prise : PC 16A + T (U) 0.25, Echange sortie de cable (U) 0.25, Echange Pave LED (U) 0.5, Echange Détecteur de présence (U) 0.25, , , ; longpan6: <vide> 1.0, 
1996;BUNG00876;Bungalow 9m;Pignon Fenêtre clim reversible 10.;Pignon mi-Plein/mi-Fenetre 5.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.5; 0.5;Pignon #02 5.0;;;
1997;Bung00669;Bungalow 9m;Pignon mi-Plein/mi-Fenetre 5.0;Pignon mi-Plein/mi-Fenetre 5.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0;Panneau Passage 2.0;Panneau Passage 2.0;;Chilly mazarin ;;pignon1: Pignon mi-Plein/mi-Fenetre 5.0,  pignon2: Pignon mi-Plein/mi-Fenetre 5.0,  longpan3: 1/2 long Pan Plein 2.5,  longpan4: 1/2 long Pan Plein 2.5,  longpan5: 1/2 long Pan Plein 2.5,  longpan6: 1/2 long Pan Plein 2.5,  cloison_int7: <vide> 1.0,  cloison_int8: <vide> 1.0,  cloison_pass9: Panneau Passage 2.0,  cloison_pass10: Panneau Passage 2.0,  kitchenette: null,  config_sanitaires: null,  config_vestiaires: null,  config_WC_HF: null
1998;BUNG00125;Bungalow 9m;Pignon Porte 6.0;Pignon Fenêtre convecteur 7.0; 1.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;Cloison Porte 4.0;Cloison Porte 4.0;Panneau Passage 2.0;Panneau Plein 2.0; 4.0;;;pignon1: Pignon Porte 6.0,  longpan3: <vide> 1.0,  cloison_int7: Cloison Porte 4.0,  cloison_pass9: Panneau Passage 2.0,  cloison_pass10: Panneau Plein 2.0,  kitchenette: <vide> 4.0, 
1999;BUNG00141;Bungalow 9m; 1.0;Pignon Fenêtre 5.0; 1.0; 1.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0; 0.5;Panneau Plein 2.0;Cloison 1/2 long pan #06 5.0;;;pignon1: <vide> 1.0,  pignon2: Pignon Fenêtre 5.0,  longpan3: <vide> 1.0,  longpan4: <vide> 1.0,  cloison_pass9: <vide> 0.5,  cloison_pass10: Panneau Plein 2.0,  kitchenette: Cloison 1/2 long pan #06 5.0, 
2000;BUNG03641;Bungalow 6m;;;;;;;;;;;;;;pignon1: Pignon ferme 2.5,  pignon2: Pignon Fenêtre convecteur 7.0,  longpan3: Long Pan 6m standard 2.5,  longpan4: Long Pan 6m standard 2.5,  passage5: 0,0,  passage6: 0,0,  cloison7: null,  kitchenette: null,  config_sanitaires: null,  config_vestiaires: null,  config_WC_HF: null
2001;BUNG04056;Bungalow 6m;;;;;;;;;;;;;;pignon1: Pignon ferme 2.5,  pignon2: Pignon Fenêtre convecteur 7.0,  longpan3: Long Pan 6m standard 2.5,  longpan4: Long Pan 6m standard 2.5,  passage5: 0,0,  passage6: 0,0,  cloison7: null,  kitchenette: null,  config_sanitaires: null,  config_vestiaires: null,  config_WC_HF: null
2002;bung00749;Bungalow 6m;;;;;;;;;;;;;;pignon1: Pignon ferme 2.5,  passage5: 6.0,  passage6: 6.0, 
2003;Bung00515;Bungalow 9m;Pignon ferme 2.5;Pignon sanitaire/WC 10.;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0;Porte exterieure 5.0;Panneau Passage 2.0; 4.0;devant ateliers ;;
2004;bung00360;Bungalow 9m;Pignon Fenêtre 5.0;Pignon ferme 2.5; 1.0; 1.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;Cloison Pleine 3.0; 1.0; 0.5;Panneau Plein 2.0;Cloison 1/2 long pan #05 5.0;Chilly mazrin;;
2005;Bung00674;Bungalow 9m;Pignon mi-Plein/mi-Fenetre 5.0;Pignon Fenêtre clim reversible 10.; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.5; 0.5;Pignon #01 5.0;CMS;;
2006;BUNG03472;Bungalow 6m;;;;;;;;;;;;;;
2007;BUNG01508;Bungalow 9m;Pignon sanitaire/WC 10.;Pignon Fenêtre clim reversible 10.;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;Cloison Porte 4.0;Cloison Porte 4.0;Panneau Passage 2.0;Panneau Passage 2.0;<vide> 4.0;;;pignon1: Pignon sanitaire/WC 10.,  pignon2: Pignon Fenêtre clim reversible 10.,  longpan3: 1/2 long Pan Plein 2.5,  longpan4: 1/2 long Pan Plein 2.5,  longpan5: 1/2 long Pan Plein 2.5,  longpan6: 1/2 long Pan Plein 2.5,  cloison_int7: Cloison Porte 4.0,  cloison_int8: Cloison Porte 4.0,  cloison_pass9: Panneau Passage 2.0,  cloison_pass10: Panneau Passage 2.0,  kitchenette: <vide> 4.0,  config_sanitaires: null,  config_vestiaires: null,  config_WC_HF: <n/a> 0.0
2008;BUNG00245;Bungalow 9m;Pignon Fenêtre clim reversible 10.; 1.0; 1.0; 1.0;1/2 long Pan Plein 2.5; 1.0; 1.0; 1.0; 0.5; 0.5;;;;
2009;BUNG01133;Bungalow 9m;Pignon Fenêtre convecteur 7.0;Pignon Fenêtre clim reversible 10.; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.5; 0.5;;;;
2010;Bung04000;Bungalow 6m;;;;;;;;;;;;;;
2011;BUNG00086;Bungalow 9m;Pignon mi-Plein/mi-Fenetre 5.0;Pignon Fenêtre convecteur 7.0; 1.0; 1.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0; 0.5;Panneau Passage 2.0; 4.0;;;
2012;Bung00861;Bungalow 9m;Pignon Fenêtre clim reversible 10.;Pignon mi-Plein/mi-Fenetre 5.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.5; 0.5;Pignon #02 5.0;;;pignon1: Pignon Fenêtre clim reversible 10.,  longpan5: <vide> 1.0,  longpan6: <vide> 1.0,  cloison_pass10: <vide> 0.5, 
2013;bung01478;Bungalow 9m;Pignon Fenêtre 5.0;Pignon ferme 2.5; 1.0; 1.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0; 0.5;Porte exterieure 5.0;Pignon #01 5.0;;;
2014;BUNG04103;Bungalow 6m;;;;;;;;;;;;;;
2015;BUNG03570;Bungalow 6m;;;;;;;;;;; 4.0;;;
2016;Bung00811;Bungalow 9m;Pignon mi-Plein/mi-Fenetre 5.0;Pignon mi-Plein/mi-Fenetre 5.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0;Panneau Passage 2.0;Panneau Passage 2.0;;chilly Mazarin ;;
2017;BUNG03311;Bungalow 6m;;;;;;;;;;;;;;pignon1: Pignon ferme 2.5,  pignon2: Pignon Fenêtre clim reversible 10.,  longpan4: Long Pan 6m standard 2.5,  passage5: 9.0,  passage6: 2.0,  cloison7: null, 
2018;BUNG00128;Bungalow 9m;Pignon Fenêtre convecteur 7.0;Pignon Porte 6.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0;Panneau Passage 2.0;Panneau Plein 2.0; 4.0;;0;
2019;BUNG01390;Bungalow 9m;Pignon mi-Plein/mi-Fenetre 5.0;Pignon Fenêtre convecteur 7.0; 1.0; 1.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0; 0.5;Panneau Passage 2.0;Pignon #01 5.0;;;pignon1: Pignon mi-Plein/mi-Fenetre 5.0,  pignon2: Pignon Fenêtre convecteur 7.0,  cloison_pass10: Panneau Passage 2.0,  kitchenette: Pignon #01 5.0, 
2020;BUNG03252;Bungalow 6m;;;;;;;;;;;;;;pignon1: Pignon ferme 2.5,  pignon2: Pignon Fenêtre convecteur 7.0,  longpan3: Long Pan 6m standard 2.5,  longpan4: Long Pan 6m standard 2.5,  passage5: 0,0,  passage6: 0,0,  cloison7: null,  kitchenette: null,  config_sanitaires: null,  config_vestiaires: null,  config_WC_HF: null
2021;BUNG03325;Bungalow 6m;;;;;;;;;;;;;; pignon2: Pignon ferme 2.5,  cloison7: null, 
2022;BUNG00244;Bungalow 9m;Pignon Fenêtre clim reversible 10.;Pignon Fenêtre clim reversible 10.; 1.0;1/2 long Pan Plein 2.5; 1.0;1/2 long Pan Plein 2.5;Cloison Porte 4.0;Cloison Porte 4.0; 0.5; 0.5;;;;
2023;BUNG01394;Bungalow 9m;Pignon Fenêtre 5.0;Pignon Fenêtre convecteur 7.0; 1.0; 1.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0; 0.5;Porte exterieure 5.0;Pignon #01 5.0;;;
2024;BUNG01388;Bungalow 9m;Pignon mi-Plein/mi-Fenetre 5.0;Pignon Fenêtre clim reversible 10.; 1.0; 1.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0; 0.5; 0.5;Pignon #01 5.0;;;pignon1: Pignon mi-Plein/mi-Fenetre 5.0,  pignon2: Pignon Fenêtre clim reversible 10.,  longpan3: <vide> 1.0,  longpan4: <vide> 1.0,  longpan5: 1/2 long Pan Plein 2.5,  longpan6: 1/2 long Pan Plein 2.5,  cloison_int7: <vide> 1.0,  cloison_int8: <vide> 1.0,  cloison_pass9: <vide> 0.5,  cloison_pass10: <vide> 0.5,  kitchenette: Pignon #01 5.0,  config_sanitaires: null,  config_vestiaires: null,  config_WC_HF: null
2025;BUNG03055;Bungalow 6m;;;;;;;;;;; 4.0;Tourville ;;
